path,bytes,kb,extension,sha256,width,height,format,mode,error
staticfiles/images/categories/kids.jpg,3047,2.98,jpg,946d926da543401a18ace6a613b1750b68e484027fd95cc05471cfadd071b484,400,300,JPEG,RGB,
staticfiles/images/men-blue-t-shirt_image1.0e5cab39b3bc.jpg,3028,2.96,jpg,294fe517d66f0f3d83ec8b29e87a1781467f2b84f563226ec3816f94d90b75e0,400,300,JPEG,RGB,
staticfiles/images/men-blue-t-shirt_image1.jpg,3028,2.96,jpg,294fe517d66f0f3d83ec8b29e87a1781467f2b84f563226ec3816f94d90b75e0,400,300,JPEG,RGB,
staticfiles/images/ethicwearebg.d7405171087b.jpeg,3006,2.94,jpeg,b93655e323aab8cce6df1f4dd7acc19bb75da09f31bb9c8b10ef5645fc174e9d,400,300,JPEG,RGB,
staticfiles/images/ethicwearebg.jpeg,3006,2.94,jpeg,b93655e323aab8cce6df1f4dd7acc19bb75da09f31bb9c8b10ef5645fc174e9d,400,300,JPEG,RGB,
static/images/levis-belts.webp,2938,2.87,webp,2d534b28f53dc7d1eaaaa3331cc2f3f1b32ca188d926525fc3e51b39f529033d,800,800,WEBP,RGB,
staticfiles/images/mens.9d89f6c13237.jpg,2793,2.73,jpg,1d6eee83d0c0b9e5d34b8fb480e97889de252440c365e79e3ea22a2282abe9d8,400,300,JPEG,RGB,
staticfiles/images/mens.jpg,2793,2.73,jpg,1d6eee83d0c0b9e5d34b8fb480e97889de252440c365e79e3ea22a2282abe9d8,400,300,JPEG,RGB,
staticfiles/images/shirt.ed2b0910ae0e.jpg,2745,2.68,jpg,84d1bb0a025ee62a7cb7a723cc21c88a60cbde5d60a1ddd45311317ff66500e7,400,300,JPEG,RGB,
staticfiles/images/shirt.jpg,2745,2.68,jpg,84d1bb0a025ee62a7cb7a723cc21c88a60cbde5d60a1ddd45311317ff66500e7,400,300,JPEG,RGB,
static/images/wallets.webp,2634,2.57,webp,11d5a559d24cf27ce43986c68ca33eddcb74c4e5974aa6a32464a57d65821925,800,800,WEBP,RGB,
staticfiles/admin/img/calendar-icons.93ab098d1ac1.svg,2455,2.4,svg,54fce3b74f82c2115a885d89c97d928c490fb842d4ed09611f8521b96666597d,,,,,
